participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
135,0,0,39,20,16,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,0,-1,-1,0,-1,0,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,,,,,,,,,,,
136,0,0,39,19,14,-1,1,-1,-1,-1,-1,0,-1,1,-1,0,1,0,1,1,1,1,1,0,1,-1,-1,0,0,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,1,,,,,,,,,,,
137,0,0,35,9,15,-1,1,-1,,1,-1,0,-1,1,-1,-1,1,-1,1,0,-1,0,0,1,0,,0,1,-1,-1,0,-1,0,,0,-1,-1,1,-1,1,0,,-1,0,,,,,,,,,,,
138,1,0,39,17,13,-1,1,1,0,1,-1,-1,1,-1,0,0,0,1,-1,1,0,0,1,-1,1,1,1,0,-1,-1,-1,0,-1,1,1,1,1,-1,1,0,1,-1,1,-1,,,,,,,,,,,
139,1,0,32,17,11,-1,1,1,-1,1,-1,-1,1,-1,1,1,,-1,0,1,-1,,1,0,1,1,,1,-1,-1,1,-1,-1,0,,1,1,,1,,1,,1,0,,,,,,,,,,,
140,1,3,48,26,15,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,0,-1,-1,0,1,0,0,1,1,1,1,1,0,-1,1,1,1,1,1,0,1,1,1,,
142,1,0,27,16,11,-1,1,1,-1,,-1,-1,1,-1,1,-1,1,-1,1,,1,1,1,-1,1,1,,,,-1,1,-1,,,1,1,1,,,,,-1,,1,,,,,,,,,,,
143,0,0,33,14,19,-1,1,-1,-1,-1,,-1,-1,1,-1,1,-1,,1,1,1,1,1,1,1,,-1,-1,-1,-1,,-1,-1,,,-1,-1,1,1,-1,1,-1,-1,1,,,,,,,,,,,
144,0,0,20,7,9,-1,1,,-1,,1,1,-1,,-1,,,,1,1,-1,,,,1,,,-1,0,-1,0,,,,,1,-1,0,0,,,,-1,,,,,,,,,,,,
145,1,0,40,23,11,-1,1,-1,-1,1,-1,1,1,0,0,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,0,1,0,-1,1,-1,0,-1,1,1,1,1,1,1,0,1,,,,,,,,,,
146,1,0,30,12,13,-1,1,,,,-1,-1,1,-1,0,-1,1,1,0,1,-1,,0,-1,1,1,1,0,-1,,-1,-1,,-1,,-1,-1,1,1,0,1,,1,,,,,,,,,,,,
147,0,0,42,17,13,-1,1,-1,-1,-1,0,1,-1,1,0,-1,1,1,1,1,1,1,1,1,1,0,-1,-1,0,0,0,-1,-1,1,0,-1,-1,0,1,1,1,0,-1,1,0,0,0,,,,,,,,
148,0,0,42,16,21,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,1,-1,1,1,-1,1,-1,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,1,1,1,0,1,1,1,-1,,,,,,,,
149,0,0,42,17,16,-1,1,-1,-1,-1,0,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,0,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,0,0,-1,0,0,0,0,,,,,,,,
150,0,0,42,25,16,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,,,,,,,,
151,0,0,21,10,11,-1,,-1,-1,,,,-1,,-1,,1,,1,1,-1,1,,1,,,1,,-1,,1,-1,-1,,,-1,-1,,1,,1,,,,1,,,,,,,,,,
152,1,4,46,29,17,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,,,,
153,0,0,41,20,13,-1,1,-1,0,,0,0,-1,1,-1,1,1,,1,1,-1,1,1,1,1,1,0,-1,-1,0,1,-1,-1,1,-1,0,-1,0,1,1,1,0,-1,1,1,1,-1,1,,,,,,,
154,1,2,36,20,10,-1,1,0,-1,1,-1,-1,1,,,-1,1,,0,,-1,,1,0,1,0,1,1,,-1,1,-1,-1,1,,-1,,1,,1,0,1,0,1,1,,,1,1,,1,1,1,,
